character,realm,date,time,dungeon,short_name,mythic_level,upgrade,score,clear_time,clear_time_ms,par_time_ms,affix_1,affix_2,affix_3,affix_4,url
Whizzletoot,Tichondrius,2022-10-14,03:59:03,Return to Karazhan: Lower,LOWR,17,1,136.1,0:38:13,2293200,2520999,Tyrannical,Bursting,Volcanic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9353358-17-return-to-karazhan-lower
Whizzletoot,Tichondrius,2022-10-12,05:24:36,Grimrail Depot,GD,15,2,129.0,0:20:29,1229016,1800999,Tyrannical,Bursting,Volcanic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9248740-15-grimrail-depot
Whizzletoot,Tichondrius,2022-10-11,05:49:28,Tazavesh: Streets of Wonder,STRT,15,2,128.9,0:26:58,1618509,2340999,Fortified,Raging,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9184331-15-tazavesh-streets-of-wonder
Whizzletoot,Tichondrius,2022-10-08,05:05:24,Grimrail Depot,GD,5,2,64.9,0:18:15,1095638,1800999,Fortified,Raging,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8962406-5-grimrail-depot
Whizzletoot,Tichondrius,2022-10-04,00:56:16,Mechagon Workshop,WORK,18,1,141.3,0:28:34,1714542,1920999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8688378-18-operation-mechagon-workshop
Whizzletoot,Tichondrius,2022-09-30,02:52:21,Tazavesh: Streets of Wonder,STRT,16,2,133.8,0:27:4,1624115,2340999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8406850-16-tazavesh-streets-of-wonder
Whizzletoot,Tichondrius,2022-09-30,02:05:28,Mechagon Workshop,WORK,15,1,126.7,0:27:39,1659948,1920999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8406917-15-operation-mechagon-workshop
Whizzletoot,Tichondrius,2022-09-28,07:31:11,Grimrail Depot,GD,17,1,135.2,0:29:38,1778501,1800999,Tyrannical,Sanguine,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8293215-17-grimrail-depot
Whizzletoot,Tichondrius,2022-09-27,07:27:44,Tazavesh: So'leah's Gambit,GMBT,15,1,126.1,0:27:25,1645506,1800999,Fortified,Bolstering,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/8220561-15-tazavesh-soleahs-gambit
Whizzletoot,Tichondrius,2022-09-20,05:57:23,Tazavesh: So'leah's Gambit,GMBT,17,1,136.9,0:25:27,1527850,1800999,Tyrannical,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/7617529-17-tazavesh-soleahs-gambit
Mostpaster,Tichondrius,2022-10-13,07:11:19,Return to Karazhan: Lower,LOWR,12,2,113.9,0:28:58,1738365,2520999,Tyrannical,Bursting,Volcanic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9306897-12-return-to-karazhan-lower
Mostpaster,Tichondrius,2022-10-13,06:22:40,Mechagon Workshop,WORK,12,1,112.0,0:26:53,1613873,1920999,Tyrannical,Bursting,Volcanic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9306028-12-operation-mechagon-workshop
Mostpaster,Tichondrius,2022-10-13,05:42:07,Iron Docks,ID,6,2,69.4,0:19:30,1170581,1800999,Tyrannical,Bursting,Volcanic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9305034-6-iron-docks
Mostpaster,Tichondrius,2022-09-20,04:43:48,Iron Docks,ID,16,2,133.1,0:22:34,1354059,1800999,Tyrannical,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/7612286-16-iron-docks
Mostpaster,Tichondrius,2022-09-13,03:09:20,Return to Karazhan: Lower,LOWR,15,1,126.6,0:36:30,2190704,2520999,Fortified,Inspiring,Grievous,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/6924884-15-return-to-karazhan-lower
Mostpaster,Tichondrius,2022-09-06,06:49:31,Tazavesh: So'leah's Gambit,GMBT,15,1,127.2,0:24:43,1483312,1800999,Tyrannical,Raging,Volcanic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/6148598-15-tazavesh-soleahs-gambit
Mostpaster,Tichondrius,2022-08-24,20:50:14,Grimrail Depot,GD,15,1,127.3,0:24:36,1476780,1800999,Fortified,Bursting,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/4267103-15-grimrail-depot
Mostpaster,Tichondrius,2022-08-24,20:05:54,Mechagon Junkyard,YARD,13,2,119.0,0:25:59,1559772,2280999,Fortified,Bursting,Storming,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/4267102-13-operation-mechagon-junkyard
Mostpaster,Tichondrius,2022-08-21,21:10:19,Tazavesh: Streets of Wonder,STRT,13,2,118.3,0:28:43,1723099,2340999,Tyrannical,Bolstering,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/3762079-13-tazavesh-streets-of-wonder
Mostpaster,Tichondrius,2022-08-21,20:31:26,Mechagon Junkyard,YARD,8,2,84.7,0:23:36,1416558,2280999,Tyrannical,Bolstering,Explosive,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/3754313-8-operation-mechagon-junkyard
Tauryy,Tichondrius,2022-10-27,05:44:23,Tazavesh: So'leah's Gambit,GMBT,18,2,143.2,0:22:25,1345625,1800999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9989064-18-tazavesh-soleahs-gambit
Tauryy,Tichondrius,2022-10-26,23:25:33,Mechagon Workshop,WORK,17,2,137.6,0:25:25,1525182,1920999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9971586-17-operation-mechagon-workshop
Tauryy,Tichondrius,2022-10-26,22:41:12,Tazavesh: Streets of Wonder,STRT,15,3,130.0,0:23:7,1387759,2340999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9969073-15-tazavesh-streets-of-wonder
Tauryy,Tichondrius,2022-10-26,20:41:25,Mechagon Workshop,WORK,5,3,65.0,0:15:41,941376,1920999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9959174-5-operation-mechagon-workshop
Tauryy,Tichondrius,2022-10-26,20:15:35,Return to Karazhan: Upper,UPPR,2,3,45.0,0:14:30,870135,2100999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9956895-2-return-to-karazhan-upper
Tauryy,Tichondrius,2022-10-26,10:23:43,Grimrail Depot,GD,17,3,140.0,0:17:24,1044686,1800999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9924414-17-grimrail-depot
Tauryy,Tichondrius,2022-10-26,05:56:03,Grimrail Depot,GD,16,2,133.0,0:22:44,1364179,1800999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9912234-16-grimrail-depot
Tauryy,Tichondrius,2022-10-26,04:54:29,Iron Docks,ID,15,1,125.8,0:28:0,1680498,1800999,Tyrannical,Inspiring,Quaking,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9911727-15-iron-docks
Ater,Stormrage,2022-10-25,06:06:12,Iron Docks,ID,20,1,150.5,0:28:41,1721780,1800999,Fortified,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9882949-20-iron-docks
Ater,Stormrage,2022-10-22,08:42:32,Mechagon Junkyard,YARD,22,2,163.9,0:26:9,1569958,2280999,Fortified,Spiteful,Necrotic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9755196-22-operation-mechagon-junkyard
Ater,Stormrage,2022-10-14,10:29:21,Mechagon Junkyard,YARD,22,1,161.6,0:33:1,1981207,2280999,Tyrannical,Bursting,Volcanic,Shrouded,https://raider.io/mythic-plus-runs/season-sl-4-post/9361658-22-operation-mechagon-junkyard
